date,symbol,name,recommendation
12/13/18,TLK,Perusahaan Persero…,BUY
11/29/18,MA,Mastercard,BUY
11/15/18,ZBRA,Zebra Technologies,BUY
11/01/18,ZS,Zscaler,BUY
10/18/18,AMZN,Amazon,BUY
10/04/18,XYZ,Block,BUY
09/20/18,UNP,Union Pacific,BUY
09/06/18,SFIX,Stitch Fix,BUY
08/16/18,ALK,Alaska Air Group,BUY
08/02/18,ANET,Arista Networks,BUY
07/19/18,BB,BlackBerry,BUY
07/05/18,SFIX,Stitch Fix,BUY
06/21/18,AMGN,Amgen,BUY
06/21/18,HAIN,Hain Celestial Group,SELL
06/07/18,WIX,Wix.com,BUY
05/30/18,WT,WisdomTree,SELL
05/18/18,CSTE,Caesarstone,SELL
05/18/18,FHI,Federated Hermes,SELL
05/17/18,NEWR,New Relic,BUY
05/03/18,SHOP,Shopify,BUY
04/20/18,POST,Post,SELL
04/20/18,OKTA,Okta,BUY
04/20/18,SHOP,Shopify,BUY
04/17/18,TRIP,Tripadvisor,SELL
04/05/18,NOV,NOV,SELL
03/15/18,CRUS,Cirrus Logic,BUY
03/15/18,MKL,Markel Group,BUY
02/16/18,VRNS,Varonis Systems,BUY
02/16/18,FICO,Fair Isaac,BUY
01/19/18,PAYC,Paycom So!ware,BUY
01/19/18,OKTA,Okta,BUY
01/12/18,PCAR,Paccar,SELL
01/12/18,MSM,MSC Industrial Direct,SELL
01/12/18,TPR,Tapestry,SELL
12/14/17,CRTO,Criteo,HOLD
12/01/17,CSX,CSX,SELL
12/01/17,GNRC,Generac,SELL
11/17/17,CME,CME Group,BUY
10/20/17,TTD,The Trade Desk,BUY
10/20/17,HCA,HCA Healthcare,BUY
09/15/17,ANET,Arista Networks,BUY
09/15/17,MMM,3M,BUY
08/18/17,LOPE,Grand Canyon Edu…,BUY
08/18/17,JD,JD.com,BUY
07/25/17,ATW,Atwood Oceanics,SELL
07/25/17,WFM,Whole Foods Market,SELL
07/21/17,IRBT,iRobot,BUY
07/21/17,CGNX,Cognex,BUY
07/20/17,AMRC,Ameresco,SELL
07/10/17,BBBY,Bed Bath & Beyond,SELL
06/16/17,TXT,Textron,BUY
06/16/17,PAYC,Paycom So!ware,BUY
05/19/17,CMG,Chipotle Mexican G…,BUY
05/19/17,ODFL,Old Dominion Freig…,BUY
04/21/17,MAR,Marriott International,BUY
04/21/17,FTNT,Fortinet,BUY
04/05/17,PNRA,Panera Bread,SELL
03/17/17,WAL,Western Alliance Ba…,BUY
03/17/17,BDX,"Becton, Dickinson",BUY
02/17/17,TSCO,Tractor Supply,BUY
02/17/17,BWA,BorgWarner,BUY
01/20/17,ROL,Rollins,BUY
01/20/17,NVDA,Nvidia,BUY
12/16/16,MA,Mastercard,BUY
12/16/16,MASI,Masimo,BUY
12/09/16,WWAV,WhiteWave Foods,SELL
11/18/16,MKL,Markel Group,BUY
11/18/16,JBLU,JetBlue Airways,BUY
11/11/16,LLTC,Linear Technology,SELL
10/28/16,URBN,Urban Outfitters,SELL
10/28/16,SDRL,SeaDrill,SELL
10/21/16,PAC,Grupo Aeroportuari…,BUY
10/21/16,NKE,Nike,BUY
10/21/16,ENH,Endurance Specialty,SELL
09/16/16,ALKS,Alkermes Plc,BUY
09/16/16,SBUX,Starbucks,BUY
09/16/16,ESRX,Express Scripts,SELL
09/08/16,WB,Weibo,BUY
08/19/16,MTCH,Match Group,BUY
08/19/16,MTCH,Match Group,BUY
08/19/16,META,Meta Platforms,BUY
07/29/16,TCS,Container Store Gro…,SELL
07/15/16,TMUS,T-Mobile US,BUY
07/15/16,SHOP,Shopify,BUY
06/27/16,DWA,DreamWorks Anima…,SELL
06/17/16,TDC,Teradata,SELL
06/17/16,ECL,Ecolab,BUY
05/20/16,STMP,Stamps.com,BUY
05/06/16,RST,Rosetta Stone,SELL
04/15/16,MTCH,Match Group,BUY
04/15/16,TRIP,Tripadvisor,BUY
03/18/16,ILMN,Illumina,BUY
03/18/16,WDAY,Workday,BUY
02/19/16,GOOG,Alphabet,BUY
02/19/16,NTUS,Natus Medical,BUY
02/11/16,ITC,ITC Holdings,SELL
01/22/16,TXRH,Texas Roadhouse,BUY
01/22/16,CRTO,Criteo,BUY
01/06/16,WPRT,Westport Fuel Syste…,SELL
12/18/15,NYT,The New York Time…,BUY
12/18/15,KMI,Kinder Morgan,BUY
11/20/15,BUD,Anheuser-Busch In…,BUY
11/20/15,AMG,Affiliated Managers …,BUY
11/06/15,DLB,Dolby Laboratories,SELL
10/16/15,ROP,Roper Technologies,BUY
